,timestamp,from_address,to_address,Unnamed: 0,value,from_ID,to_ID
0,2021-12-30,0x0000000000000000000000000000000000000000,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0,2.718281828459045e+25,545,3159
1,2022-06-21,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,1,1.6989261e+23,3159,736
2,2022-06-21,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0xb1dc7fe020c15cbc2fb9b304d1999282b9aaa14a,2,1.6989261e+23,736,590
3,2022-06-22,0x0234a7402ee7f7e375283fb7bf118751e9d9fdab,0x2ab8019a3191861f8235ec9fc5a9087d04682480,3,3.220392454988251e+22,2960,353
4,2022-06-22,0x0234a7402ee7f7e375283fb7bf118751e9d9fdab,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,4,1.3591409e+23,2960,736
5,2022-06-22,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,5,1.3591409e+23,3159,736
6,2022-06-22,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x7597851f3fd386a13b5784677ae8a569bdb33a95,6,4.0094656963e+24,3159,2274
7,2022-06-22,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xc8d9c7a7241a122df3e24aa1da0d7fdbdb632fda,7,1e+18,3159,413
8,2022-06-22,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xcb8efb0c065071e4110932858a84365a80c8fef0,8,1e+18,3159,124
9,2022-06-23,0x00000000003b3cc22af3ae1eac0440bcee416b40,0xb003df4b243f938132e8cadbeb237abc5a889fb4,9,1.2809029021900997e+21,1391,2847
10,2022-06-23,0x0000000002732779240fe05873611dc4203dfb71,0xb003df4b243f938132e8cadbeb237abc5a889fb4,10,1.0852860332936031e+20,2103,2847
11,2022-06-23,0x0000000002732779240fe05873611dc4203dfb71,0xd524e29e3baf5bb085403ca5665301e94387a7e2,11,1.0852860332936031e+20,2103,1148
12,2022-06-23,0x00000000726422a6fecb4759b44d47e48cf746aa,0xb003df4b243f938132e8cadbeb237abc5a889fb4,12,6.709003624101401e+19,3880,2847
13,2022-06-23,0x00000000c2cf7648c169b25ef1c217864bfa38cc,0xb003df4b243f938132e8cadbeb237abc5a889fb4,13,4.067929848127495e+20,2418,2847
14,2022-06-23,0x00000000c2cf7648c169b25ef1c217864bfa38cc,0xf7209ca456675d82a372f8edfa1f17e74c237b69,14,4.067929848127495e+20,2418,2788
15,2022-06-23,0x000729f1022cbf699dafc3928b6e92ce2fe33841,0xd524e29e3baf5bb085403ca5665301e94387a7e2,15,5.805482924056512e+19,1717,1148
16,2022-06-23,0x004302ff315df99e7a200d3f21bf5b85f747dae9,0xd524e29e3baf5bb085403ca5665301e94387a7e2,16,2.672053123701381e+19,3811,1148
17,2022-06-23,0x006e4d082359d878e6007614d497eac0f810fa91,0x0ca5a04835a805676f1221bd2edb052195e6f90b,17,1.6169979056739658e+21,2054,2100
18,2022-06-23,0x006e4d082359d878e6007614d497eac0f810fa91,0xd524e29e3baf5bb085403ca5665301e94387a7e2,18,1.6169979056739658e+21,2054,1148
